termino,etiqueta,significado,traduccion_1,traduccion_2,traduccion_3,traduccion_4,
Rotabutía,Verbo infinitivo,"Rebuscar, buscar algo con mucho cuidado.",Rebuscar,,,,
Rotabutiéno,Imperativo plural,"Rebúsquen, busquen con mucho cuidado.",Rebúsquen,,,,
Ruáko,Adjetivo,"Fétido, maloliente.",Fétido,Maloliente,,,
Sá,Verbo infinitivo,"Salir, irse de un lugar.",Salir,,,,
Sabé,Verbo infinitivo,"Saber, tener conocimiento de algo.",Saber,,,,
Sabéno,Imperativo plural,"Sepan, tengan conocimiento de algo.",Sepan,,,,
Sajá,Sustantivo,"Lesión grande, herida o daño grande.",Lesión grande,,,,
Salejonkito,Sustantivo,"Jovencito, persona joven.",Jovencito,,,,
Saléno,Imperativo plural,"Salgan, váyanse de un lugar.",Salgan,,,,
Salurá,Verbo infinitivo,"Saludar, dirigir un saludo.",Saludar,,,,
Saluréno,Imperativo plural,"Saluden, dirijan un saludo.",Saluden,,,,
Sambapálo,Sustantivo,"Pelea desordenada, escándalo.",Pelea desordenada,Escándalo,,,
Sambulí,Verbo infinitivo,"Zambullirse, sumergirse en el agua.",Zambullirse,Nadar,,,
Sambuliéno,Imperativo plural,"Zambullan, sumérjanse en el agua.",Zambullan,Naden,,,
Samilongongó,Sustantivo,"Baile muerto, tipo de danza.",Baile muerto,,,,
Sampintéro,Sustantivo,"Mentiroso, persona que dice mentiras.",Mentiroso,,,,
Saná,Verbo infinitivo,"Sanarse, curarse o mejorar en salud.",Sanarse,,,,
Sandéme,Sustantivo,Sentimiento de ansiedad e intranquilidad.,Ansiedad,Inquietud,Perturbación,,
Sando,Sustantivo,"Santo, persona venerada por su virtud religiosa.",Santo,,,,
Sanéno,Imperativo plural,"Sánense, curen o mejoren en salud.",Sánense,,,,
Sangariá,Verbo infinitivo,"Bailar, moverse al ritmo de la música.",Bailar,,,,
Sangariamusá,Verbo infinitivo,"Poner obstáculos a otro, dificultar algo.",Poner obstáculos,,,,
Sangariamuséno,Imperativo plural,"Pongan obstáculos, dificulten algo.",Pongan obstáculos,,,,
Sangariéno,Imperativo plural,"Bailen, muévanse al ritmo de la música.",Bailen,,,,
Sangarriá,Verbo infinitivo,Mover las nalgas con estilo al caminar.,Mover las nalgas,Estilo al caminar,,,
Sangarriéno,Imperativo plural,Muevan las nalgas con estilo al caminar.,Muevan las nalgas,Estilo al caminar,,,
Sanjuan,Sustantivo,"Junio, mes del calendario.",Junio,,,,
Sankajao,Adjetivo,"Cansado, fatigado o sin energía.",Cansado,,,,
Sankochá,Verbo infinitivo,"Hervir, cocinar a alta temperatura con agua.",Hervir,,,,
Sankochéno,Imperativo plural,"Hiervan, cocinen a alta temperatura con agua.",Hiervan,,,,
Santana,Sustantivo,"Julio, mes del calendario.",Julio,,,,
Sausao,Sustantivo,"Comida ahumada, alimento preparado con humo.",Comida ahumada,,,,
Sé,Verbo copulativo / Variante ,"Forma del verbo ""ser"" en presente. Usado para indicar identidad o características. / Es la forma reducida de ""á sé"" que se usa en construcciones negativas. Funciona como marcador verbal en el presente habitual negativo.",Soy,Eres,Es,,
Séba,Verbo modal en imperfecto,"Significa ""solía"". Se posiciona antes de un verbo en infinitivo para formar un concepto verbal complejo. Como verbo modal, séba se posiciona antes del verbo en infinitivo para indicar una acción habitual en el pasado, similar a ""solía"" en español.",Solía,,,,
Sebbesa,Sustantivo,"Cerveza, bebida alcohólica de cebada.",Cerveza,,,,
Seká,Verbo infinitivo,"Secar, eliminar la humedad.",Secar,,,,
Sekéno,Imperativo plural,"Secen, eliminen la humedad.",Secen,,,,
Selá,Verbo infinitivo,"Cerrar, clausurar algo.",Cerrar,,,,
Selelé,Sustantivo,"Escándalo, alboroto, ruido fuerte.",Escándalo,Alboroto,Ruido,,
Seléno,Imperativo plural,"Cierren, clausuren algo.",Cierren,,,,
Selíngo,Número,"Seis, cantidad de elementos.",Seis,,,,
Semblá,Verbo infinitivo,"Sembrar, plantar algo en la tierra.",Sembrar,,,,
Sembláo,Sustantivo,"Sembrado, terreno cultivado.",Sembrado,,,,
Sembléno,Imperativo plural,"Siembren, planten algo en la tierra.",Siembren,,,,
Sena,Sustantivo,"Cena, comida nocturna.",Cena,,,,
Senblà,Verbo infinitivo,"Sembrar, plantar algo en la tierra.",Sembrar,,,,
Senbléno,Imperativo plural,"Siembren, planten algo en la tierra.",Siembren,,,,
Sendá,Verbo infinitivo / Verbo copulativo,"Ser, existir, sentarse, tomar asiento. Forma del verbo ""ser"" utilizada para denotar una condición de estar o ser en algo. Expresa la existencia o el estado de algo, similar al verbo ""ser"" en español, pero en el contexto de una situación o lugar. Se usa comúnmente con ""á"" para enfatizar el estado de ser o estar en algo.",Ser,Sentarse,,,
Sendéno,Imperativo plural,"Siéntense, tomen asiento.",Siéntense,,,,
Sendéno,Imperativo plural,"Sean, existan.",Sean,,,,
Sengdabo,Sustantivo,"Plata, dinero.",Plata,,,,
Settó,Sustantivo,"Sector, área específica.",Sector,,,,
Si,Pronombre / Conjunción subordinada,"Suyo, suya, posesivo. / Introduce condiciones para la acción en la oración principal. ""Si"" se usa para introducir la condición que debe cumplirse para que ocurra la acción en la oración principal.",Suyo,Suya,Si,,
Sía,Sustantivo,"Silla, objeto para sentarse.",Silla,,,,
Sibunná,Sustantivo,"Saturación, llenura o exceso de algo.",Saturación,,,,
Sielo,Sustantivo,"Cielo, espacio celeste.",Cielo,,,,
Siénaga,Sustantivo,"Ciénaga, terreno pantanoso.",Ciénaga,,,,
Sienega,Sustantivo,"Ciénaga, terreno pantanoso.",Ciénaga,,,,
Síko,Sustantivo,"Culebra con dos cabezas, serpiente mitológica.",Culebra de dos cabezas,,,,
Silíngo,Número,"Cinco, cantidad de elementos.",Cinco,,,,
Simía,Sustantivo,"Semilla, elemento reproductor vegetal.",Semilla,Clítoris,,,
Sindí,Verbo infinitivo,"Sentir, percibir emociones o sensaciones.",Sentir,,,,
Sindiéno,Imperativo plural,"Sientan, perciban emociones o sensaciones.",Sientan,,,,
Singí,Sustantivo,"Lobo, mamífero carnívoro de la familia canina.",Lobo,,,,
Singuisárria,Sustantivo,"Regaño, reprimenda.",Regaño,,,,
Sínko,Número,"Cinco, cantidad numérica.",Cinco,,,,
Sinsiná,Verbo infinitivo,"Empinarse, elevarse en puntillas.",Empinarse,,,,
Sinsinéno,Imperativo plural,"Empínense, elévense en puntillas.",Empínense,,,,
Sinsiribi,Adjetivo,"Sin servir, inútil.",Sin servir,,,,
Sipiéno,Imperativo plural,"Anden sin rumbo, vayan a la deriva.",Anden sin rumbo,,,,
Sirito,Sustantivo,"Barburito, tipo de insecto.",Barburito,,,,
So,Sustantivo,"Sol, astro que ilumina la Tierra.",Sol,,,,
Sobbé,Verbo infinitivo,"Sorber, absorber un líquido.",Sorber,,,,
Sobbéno,Imperativo plural,"Sorban, absorban un líquido.",Sorban,,,,
Sochú,Verbo infinitivo,"Cepillarse los dientes, limpiar los dientes.",Cepillarse,,,,
Sochuéno,Imperativo plural,"Cepíllense los dientes, limpien los dientes.",Cepíllense,,,,
Sofoko,Sustantivo,"Dificultad, obstáculo.",Dificultad,,,,
Soki,Sustantivo,"Maquillaje, productos cosméticos.",Maquillaje,,,,
Sokoloko,Sustantivo,"Cebollín, hierba utilizada en la cocina.",Cebollín,,,,
Sokolombó,Sustantivo,"Almuerzo, comida del mediodía.",Almuerzo,,,,
Sokoya,Sustantivo,"Lucha, pelea.",Lucha,,,,
Sokoyaró,Sustantivo,"Cimarrón, esclavo fugitivo.",Cimarrón,,,,
Sokróso,Adjetivo,Pegajoso o dañino.,Pegajoso,Dañino,,,
Solefi,Adjetivo,"Frío, de baja temperatura.",Frío,,,,
Solisísmo,Sustantivo,Falta de prudencia de una persona.,Falta de prudencia,,,,
Solomboko,Sustantivo,"Criterio, juicio para decidir algo.",Criterio,,,,
Soná,Verbo infinitivo,"Sonar, emitir sonido.",Sonar,,,,
Sonéno,Imperativo plural,"Sonen, emitan sonido.",Sonen,,,,
Songukurú,Sustantivo,"Marzo, tercer mes del año.",Marzo,,,,
Sonío,Sustantivo,"Sonido, vibración que percibimos con el oído.",Sonido,,,,
Sonsobeyako,Adjetivo,"Inservible, inútil.",Inservible,,,,
Sorombátiko,Sustantivo,"Adversidad, situación difícil.",Adversidad,,,,
Sosiá,Adjetivo,"Social, relacionado con la sociedad.",Social,,,,
Soyáo,Sustantivo,Gases intestinales que se expulsan por el ano.,Flatulencia,,,,
Suamo,Sustantivo,"Dueño, propietario.",Dueño,,,,
Suégro,Sustantivo,"Suegro, padre del cónyuge.",Suegro,,,,
Suétto,Adjetivo,"Suelto, libre o no atado.",Suelto,,,,
Suípi,Verbo infinitivo,"Andar sin rumbo, vagar.",Andar sin rumbo,,,,
Sungiá,Verbo infinitivo,Movimiento simulado del sexo; acción vulgar.,Movimiento vulgar,,,,
Sungiéno,Imperativo plural,Movimiento simulado del sexo; acción vulgar.,Movimiento vulgar,,,,
Sunguiá,Verbo infinitivo,Tener sexo.,Tener sexo,,,,
Sunguiéno,Imperativo plural,Tengan sexo.,Tengan sexo,,,,
Supiritá,Verbo infinitivo,"Superar, obtener algo.",Superar,Obtener,,,
Supiriténo,Imperativo plural,"Superen, obtengan algo.",Superen,Obtengan,,,
Surumbá,Verbo infinitivo,"Azotar, golpear con fuerza.",Azotar,,,,
Surumbéno,Imperativo plural,"Azoten, golpeen con fuerza.",Azoten,Golpeen,,,
Susá,Verbo infinitivo,"Atizar, encender o animar una pelea.",Atizar,Encender,Animar una pelea,,
Suséno,Imperativo plural,"Aticen, enciendan o animen una pelea.",Aticen,Enciendan,Animen una pelea,,
Suto,Pronombre,Nosotros.,Nosotros,,,,
Ta,Marcador verbal aspectual,Marca preverbal de progresivo. Indica que la acción del verbo está en desarrollo o progreso. Se usa con el verbo en infinitivo para formar el presente continuo.,,,,,
Tá,Verbo infinitivo,Estar.,Estar,,,,
Taba,Marcador verbal,Marca preverbal de progresivo pasado (Suto taba kumé).,,,,,
tába,Imperfecto perifrástico,"Indica una acción progresiva en el pasado. Similar a ""estaba + gerundio"" en español. Su usa taba y luego  el verbo infinitivo",,,,,
Tabako,Sustantivo,"Tabaco, planta utilizada para fumar.",Tabaco,,,,
Tabalá,Sustantivo,"Tambor, instrumento musical de percusión.",Tambor,,,,
Tabréte,Sustantivo,"Taburete, silla pequeña.",Taburete,Silla pequeña,,,
Tadde,Sustantivo,"Tarde, período del día posterior al mediodía.",Tarde,,,,
Tako,Sustantivo,"Rival, oponente en cualquier situación.",Rival,,,,
Támba,Verbo infinitivo,"Iba, íbamos (forma verbal del pasado).",Iba,Íbamos,,,
Tambéno,Imperativo plural,"Iban, íbamos (forma verbal del pasado).",Iban,Íbamos,,,
Tambié,Adverbio,"También, además.",También,,,,
Tambó,Sustantivo,"Tambor, instrumento de percusión.",Tambor,,,,
Tamboléo,Sustantivo,Movimiento inestable o vacilante.,Tambaleo,,,,
Tan,Marcador Temporal aspectual ,Antes del verbo (indica futuro). Indica que la acción del verbo sucederá en el futuro. ,,,,,
Tandéno,Imperativo plural,"Vayan, estén yendo hacia un lugar.",Vayan,,,,
Tándo,Verbo infinitivo / Marcador temporal ,"Yendo, en movimiento hacia un lugar. / Expresa la acción de ir/irse o estar yendo hacia un lugar o para realizar una acción.",Yendo,Ir,,,
Tangdo,Sustantivo,"Pasa el tiempo, continuidad.",Continuidad,Pasa el tiempo,,,
Tanke,Sustantivo,"Tanque, depósito grande.",Tanque,,,,
Tapangolé,Sustantivo,Árbol que produce fruta parecida a la cereza.,Árbol de fruta,,,,
Tarabita,Sustantivo,"Andundero, cuerpo espín.",Cuerpo espín,,,,
Tatá,Sustantivo,"Papá, padre.",Papá,,,,
Táttara,Sustantivo,"Cosa vieja, vejestorio.",Cosa vieja,Vejestorio,,,
Tefú,Sustantivo,"Libélula, insecto alado común en ambientes húmedos.",Libélula,,,,
Teklíya,Sustantivo,"Regaño, reprensión verbal.",Regaño,,,,
Tekliyéro,Sustantivo,"Cantaletero, persona que regaña constantemente.",Cantaletero,,,,
Telíngo,Número,"Diez, cantidad de elementos.",Diez,,,,
Tén,Verbo infinitivo,"Tener, poseer algo.",Tener,Hay,,,
Tendá,Verbo infinitivo,"Palpar, tocar algo.",Palpar,Tocar,,,
Tendéno,Imperativo plural,"Palpen, toquen algo.",Palpen,Toquen,,,
Tenéno,Imperativo plural,Estén.,Estén,,,,
Tenéno,Imperativo plural,"Tengan, posean algo.",Tengan,Haya,,,
Tenkesú,Sustantivo,"Ají dulce, variedad de pimiento usado en cocina.",Ají dulce,,,,
Teta,Sustantivo,"Seno, pecho femenino.",Seno,,,,
Tetemblá,Verbo infinitivo,"Temblar, moverse rítmicamente.",Temblar,Movimiento,Ritmo,,
Tetembléno,Imperativo plural,"Temblen, muévanse rítmicamente.",Temblen,"Movimiento, Ritmo",,,
Teto,Sustantivo,"Pena, vergüenza.",Pena,Vergüenza,,,
Tibirikí,Sustantivo,"Cuchara, utensilio de cocina.",Cuchara,,,,
Tiéla,Sustantivo,"Tierra, suelo.",Tierra,,,,
Tielo,Sustantivo,"Recipiente, contenedor.",Recipiente,,,,
Tiémbo,Sustantivo,"Tiempo, duración de un evento.",Tiempo,,,,
Tieto,Sustantivo,"Cuento, chisme.",Cuento,Chisme,,,
Tijera,Sustantivo,"Desvío, cambio de dirección.",Desvío,,,,
Tilá,Verbo infinitivo,"Tirar, arrojar algo.",Tirar,,,,
Tiléno,Imperativo plural,"Tirar, arrojen algo.",Tiren,,,,
Tilingó,Sustantivo,Maní de tres semillas.,Maní de tres semillas,,,,
Tinanína,Sustantivo,"Alegría, felicidad intensa.",Alegría,,,,
Tingolingo,Sustantivo,"Juguete, objeto para jugar.",Juguete,,,,
To,Pronombre,"Todos, todas las personas o cosas.",Todos,,,,
To ndó,Pronombre,"Ambos, los dos elementos.",Ambos,,,,
Toabía,Adverbio,"Todavía, hasta ahora.",Todavía,,,,
Tokaora,Sustantivo,"Tocador, mueble para arreglarse.",Tocador,,,,
Tolondrón,Adjetivo,"Brusco, áspero en su trato o acciones.",Brusco,Áspero,,,
Tolonjúo,Adjetivo,"De gran tamaño, gigante.",De gran tamaño,Gigante,,,
Tombonguru,Sustantivo,"Tomate, fruto rojo usado en cocina.",Tomate,,,,
Tonga,Sustantivo,"Arrume, conjunto de cosas apiladas.",Arrume,Motivo,,,
Tontína,Sustantivo,"Vértigo, inestabilidad o mareo.",Vértigo,Inestabilidad,,,
Topatópa,Sustantivo,"Encuentro, reunión entre personas.",Encuentro,Reunión,,,
Topetá,Verbo infinitivo,"Tropezar, encontrar por casualidad.",Tropezar,Encontrar,,,
Topeténo,Imperativo plural,"Tropecen, encuentren por casualidad.",Tropecen,Encuentren,,,
Topolongoléno,Imperativo plural,"Olviden, dejen de recordar algo.",Olviden,,,,
Topolongoló,Verbo infinitivo,"Olvidar, dejar de recordar algo.",Olvidar,,,,
Torabía,Adverbio,"Todavía, persistencia en el tiempo.",Todavía,,,,
Totolita,Sustantivo,"Tórtola, especie de ave.",Tórtola,,,,
Totoporópo,Sustantivo,Mata que produce fruta parecida al tomate.,Mata de fruta,,,,
Tragá,Verbo infinitivo,"Desaparecer, extinguirse.",Desaparecer,,,,
Tragéno,Imperativo plural,"Desaparezcan, extingan.",Desaparezcan,,,,
Trankutiá,Verbo infinitivo,"Examinar, revisar con cuidado.",Examinar,Revisar,,,
Trankutiéno,Imperativo plural,"Examinen, revisen con cuidado.",Examinan,Revisen,,,
Trapá,Verbo infinitivo,"Subir, ascender.",Subir,,,,
Trapéno,Imperativo plural,"Suban, asciendan.",Suban,,,,
Trarisió,Sustantivo,"Transmisión, acción de transferir algo.",Transmisión,,,,
Trate,Sustantivo,"Utensilios de cocina, enseres domésticos.",Utensilios de cocina,,,,
Tre,Número,"Tres, cantidad.",Tres,3,,,
Trécho,Sustantivo,"Camino, senda o ruta.",Camino,,,,
Tretéro,Adjetivo,"Mentiroso, persona que exagera o distorsiona la verdad.",Mentiroso,Estrafalario,Exagerado,,
Trikitriña,Sustantivo,"Cantaleta, discurso repetitivo y molesto.",Cantaleta,,,,
Trilingo,Número,"Tres, cantidad de elementos.",Tres,3,,,
Trilíngo,Número,"Tres, cantidad de elementos.",Tres,,,,
Tripalabandongo,Sustantivo,Fluido vital que circula en los organismos vivos., ,,,,
Trochimá,Sustantivo,"Traidor, persona que no es confiable.",Traidor,Trabero,,,
Troja,Sustantivo,"Mesa, superficie para colocar objetos.",Mesa,,,,
Trompiá,Verbo infinitivo,"Pelear, involucrarse en una lucha.",Pelear,,,,
Trompiéno,Imperativo plural,"Pelear, involucrarse en una lucha.",Peleen,,,,
Tronatrona,Sustantivo,"Salida secreta, escape oculto.",Salida secreta,,,,
Tronchá,Verbo infinitivo,"Cortar un árbol, derribarlo.",Cortar un árbol,,,,
Tronchéno,Imperativo plural,"Corten un árbol, derríbenlo.",Corten un árbol,Derríbanlo,,,
Tropeo,Sustantivo,"Ruido, sonido fuerte y desordenado.",Ruido,,,,
Trunjá,Verbo infinitivo,"Agredir, atacar físicamente.",Agredir,,,,
Trunjéno,Imperativo plural,"Agredan, ataquen físicamente.",Agredan,,,,
Tukutuku,Sustantivo,"Epilepsia, condición médica que causa convulsiones.",Epilepsia,,,,
Tumtum,Sustantivo,"Sonido de tambores, ritmo musical.",Ritmo,Sonido de tambores,,,
Tunánte,Sustantivo,"Caminante, persona errante o vagabunda.",Caminante,Errante,,,
Tungananá,Sustantivo,"Sapo, anfibio común en áreas húmedas.",Sapo,,,,
Tunguléra,Sustantivo,"Gracia, estilo o desenvoltura al actuar.",Gracia,Estilo,Desenvoltura,,
Tuntuniá,Verbo infinitivo,"Buscar, investigar con esfuerzo.",Buscar,Investigar,,,
Tuntuniéno,Imperativo plural,"Busquen, investiguen con esfuerzo.",Busquen,Investiguen,,,
Turrulláto,Adjetivo,"Loco, persona incoherente o descontrolada.",Loco,Incoherente,,,
Tusa,Sustantivo,"Hojas del cascarrón de maíz, material vegetal seco.",Tusa,,,,
Tusí,Sustantivo,"Eses fecales, material de desecho orgánico.",Eses fecales,Estiércol,,,
U:,Expresión,Expresión de admiración o sorpresa.,U,,,,
Ualúa,Sustantivo,"Guarapo, bebida fermentada a base de caña de azúcar.",Guarapo,,,,
Uepa,Expresión,"Hola, saludo amistoso o casual.",Hola,,,,
Umaná,Verbo infinitivo,"Tramar, idear o planear algo.",Tramar,,,,
Umanéno,Imperativo plural,"Tramen, ideen o planeen algo.",Tramen,,,,
Umanirá,Sustantivo,"Humanidad, colectividad de las personas.",Humanidad,,,,
Umbá,Sustantivo,"Burla, acción de ridiculizar a alguien.",Burla,,,,
Un dióta,Expresión temporal,"Tiempo atrás, en el pasado lejano.",Tiempo atrás,En el pasado,,,
Un ma,Artículo indefinido,Indica pluralidad indefinida.,Unas,Unos,,,
Undá,Verbo infinitivo,"Ve, mandato de dirigirse hacia un lugar.",Ve,,,,
Undéno,Imperativo plural,"Vayan, diríjanse hacia un lugar.",Vayan,,,,
Ung,Número,"Uno, cantidad mínima o singular.",Uno,,,,
Unma,Pronombre,"Unos, unas, algunas cosas o personas.",Unos,Unas,,,
Uría,Adverbio,"Junto, en compañía o proximidad.",Junto,,,,
Usá,Verbo infinitivo,"Usar, emplear algo para un fin.",Usar,,,,
Usengue,Sustantivo,"Brujo, persona que practica magia o hechicería.",Brujo,,,,
Uséno,Imperativo plural,"Usen, empleen algo para un fin.",Usen,,,,
Usukulú,Sustantivo,"Noche, período de oscuridad entre el día.",Noche,,,,
Usulú,Sustantivo,"Guerrero, persona que lucha o combate.",Guerrero,,,,
Utere,Pronombre,"Ustedes, se refiere a varias personas.",Ustedes,,,,
Úto,Pronombre,"Otro, algo o alguien distinto.",Otro,,,,
Yamado,Sustantivo,"Llamador, persona o cosa que llama.",Llamador,,,,
Yamaro,Sustantivo,"Tambor llamador, instrumento de percusión.",Tambor llamador,,,,
Yamblublú,Sustantivo,"Desayuno, primera comida del día.",Desayuno,,,,
Yebá,Verbo infinitivo,"Llevar, transportar algo o alguien.",Llevar,,,,
Yebéno,Imperativo plural,"Lleven, transporten algo o alguien.",Lleven,,,,
Yegá,Verbo infinitivo,"Llegar, alcanzar un lugar o meta.",Llegar,,,,
Yegéno,Imperativo plural,"Lleguen, alcancen un lugar o meta.",Lleguen,,,,
Yegua,Sustantivo,"Yegua, hembra del caballo.",Yegua,,,,
Yeré,Sustantivo,"Cantaleta, discurso repetitivo y molesto.",Cantaleta,,,,
Yo,Préstamo del español,Forma tomada del español. En algunos contextos se usa por eufonía en lugar de la forma átona “i”.,Yo,,,,
Yolá,Verbo infinitivo,"Llorar, derramar lágrimas.",Llorar,,,,
Yoléno,Imperativo plural,"Lloren, derramen lágrimas.",Lloren,,,,
Yolofo,Sustantivo,"Pájaro que come arroz, ave con hábito alimenticio.",Pájaro,,,,
Yombo,Sustantivo,"Cuervo, ave negra de tamaño mediano.",Cuervo,,,,
Yúbia,Sustantivo,"Lluvia, precipitación acuosa desde las nubes.",Lluvia,,,,
Yuka,Sustantivo,"Yuca, tubérculo comestible.",Yuca,,,,
Yulá,Verbo infinitivo,"Ayudar, brindar apoyo o asistencia.",Ayudar,,,,
Yuléno,Imperativo plural,"Ayuden, brinden apoyo o asistencia.",Ayuden,,,,
Yungú,Sustantivo,"Azúcar, sustancia dulce.",Azúcar,,,,
,,,,,,,
Yuringurí,Sustantivo,"Lápiz, instrumento de escritura con grafito.",Lápiz,,,,
Yurumbí,Sustantivo,"Libro, colección de hojas con contenido escrito.",Libro,,,,
Yuya,Sustantivo,"Planta, organismo vegetal.",Planta,,,,
